Kassenkredite, Wertpapierschulden und Kredite der Gemeinden;;;;;;;;;;;;;;;;;;;;;;;;;;
und Gemeindeverbände;;;;;;;;;;;;;;;;;;;;;;;;;;
- Gemeinden/GV - Stichtag;;;;;;;;;;;;;;;;;;;;;;;;;;
Schulden der Gemeinden/GV und FEU;;;;;;;;;;;;;;;;;;;;;;;;;;
Gemeinden und Gemeindeverbände;;Stichtag;Stichtag;;;;;;;;;;;;;;;;;;;;;;;
;;30.06.2014;31.12.2014;;;;;;;;;;;;;;;;;;;;;;;
;;Bevölkerungsstand;Insgesamt;;;;;;Kernhaushalt;;;;;;Eigenbetriebe u. Krh o. e. Rechtspersönlichkeit 1);;;;;;s. Einr. der Gem./GV in öffentl.-rechtl. Form 2);;;;;
;;;brutto;brutto je Einwohner;darunter: beim Träger;darunter: beim Träger je Einwohner;netto (ohne Schulden beim Träger);netto (ohne Schulden beim Träger) je Einwohner;insgesamt;insgesamt je Einwohner;Kassenkredite;Kassenkredite je Einwohner;Investitionskredite (inkl. Wertpapierschulden);Investitionskredite (inkl. Wertpapiersch.)je Einw.;insgesamt;insgesamt je Einwohner;darunter: beim Träger;darunter: beim Träger je Einwohner;darunter: bei Gemeinden/GV, beim Träger;darunter: bei Gemeinden/GV, beim Träger je Einw.;insgesamt;insgesamt je Einwohner;darunter: beim Träger;darunter: beim Träger je Einwohner;darunter: bei Gemeinden/GV, beim Träger;darunter: bei Gemeinden/GV, beim Träger je Einw.
;;Anzahl;Tsd. EUR;EUR;Tsd. EUR;EUR;Tsd. EUR;EUR;Tsd. EUR;EUR;Tsd. EUR;EUR;Tsd. EUR;EUR;Tsd. EUR;EUR;Tsd. EUR;EUR;Tsd. EUR;EUR;Tsd. EUR;EUR;Tsd. EUR;EUR;Tsd. EUR;EUR
05978016;      Holzwickede;16809;36047;2144,5;370;22,01;35677;2122,49;33986;2021,89;7000;416,44;26986;1605,45;2061;122,61;370;22,01;-;-;-;-;-;-;-;-
05978020;      Kamen, Stadt;43145;151486;3511,1;-;-;151486;3511,1;117694;2727,88;66000;1529,73;51694;1198,15;33792;783,22;-;-;-;-;-;-;-;-;-;-
05978024;      Lünen, Stadt;84695;418991;4947,06;39104;461,7;379887;4485,36;243583;2876;175000;2066,24;68583;809,76;95617;1128,96;-;-;-;-;79791;942,1;39104;461,7;-;-
05978028;      Schwerte, Stadt;46163;162814;3526,93;-;-;162814;3526,93;113311;2454,58;76000;1646,34;37311;808,24;5800;125,64;-;-;-;-;43703;946,71;-;-;-;-
05978032;      Selm, Stadt;25583;85508;3342,38;-;-;85508;3342,38;85508;3342,38;42973;1679,75;42535;1662,63;-;-;-;-;-;-;-;-;-;-;-;-
05978036;      Unna, Stadt;58812;165728;2817,93;100;1,7;165628;2816,23;114402;1945,22;60665;1031,51;53737;913,71;51326;872,71;100;1,7;-;-;-;-;-;-;-;-
05978040;      Werne, Stadt;29669;142081;4788,87;46000;1550,44;96081;3238,43;57903;1951,63;22000;741,51;35903;1210,12;84178;2837,24;46000;1550,44;-;-;-;-;-;-;-;-
__________;;;;;;;;;;;;;;;;;;;;;;;;;;
1) Eigenbetriebe und eigenbetriebsähnliche;;;;;;;;;;;;;;;;;;;;;;;;;;
Einrichtungen einschl. der Krankenhäuser ohne eigene;;;;;;;;;;;;;;;;;;;;;;;;;;
Rechtspersönlichkeit - 2) Anstalten öffenlichen Rechts (AöR);;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
Weitere Hinweise entnehmen Sie bitte der Datei 'Hinweise zur;;;;;;;;;;;;;;;;;;;;;;;;;;
Schuldenstandstatistik'. Diese Datei kann auf dem;;;;;;;;;;;;;;;;;;;;;;;;;;
Internetserver unter der Adresse;;;;;;;;;;;;;;;;;;;;;;;;;;
https://www.landesdatenbank.nrw.de/ldbnrw/misc/Hinweise_Schu;;;;;;;;;;;;;;;;;;;;;;;;;;
ldenstandstatistik.pdf eingesehen werden.;;;;;;;;;;;;;;;;;;;;;;;;;;
(C)opyright Dieses Angebot des Landesbetriebs Information und Technik;;;;;;;;;;;;;;;;;;;;;;;;;;
Nordrhein-Westfalen (IT.NRW) ist lizensiert unter der Datenlizenz;;;;;;;;;;;;;;;;;;;;;;;;;;
Deutschland - Namensnennung - Version 2.0. Düsseldorf, 2016.;;;;;;;;;;;;;;;;;;;;;;;;;;
Stand: 11.06.2016 - 12:20:05;;;;;;;;;;;;;;;;;;;;;;;;;;
